id,status,table,field,description,percent_records_failed,num_records_failed,threshold,resolved,fix_description,validation_query,validation_result
40,FAIL,VISIT_OCCURRENCE,VISIT_END_DATE,"The number and percent of records with a value in the VISIT_END_DATE field of the VISIT_OCCURRENCE table less than 19500101",0.26,415017,1%,NO,,
41,FAIL,VISIT_OCCURRENCE,VISIT_END_DATETIME,"The number and percent of records with a value in the VISIT_END_DATETIME field of the VISIT_OCCURRENCE table less than 19500101",0.26,415017,1%,NO,,
42,FAIL,VISIT_OCCURRENCE,VISIT_START_DATE,"The number and percent of records with a value in the VISIT_START_DATE field of the VISIT_OCCURRENCE table less than 19500101",0.26,415017,1%,NO,,
43,FAIL,VISIT_OCCURRENCE,VISIT_START_DATETIME,"The number and percent of records with a value in the VISIT_START_DATETIME field of the VISIT_OCCURRENCE table less than 19500101",0.26,415017,1%,NO,,
44,FAIL,CONDITION_OCCURRENCE,CONDITION_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field CONDITION_SOURCE_CONCEPT_ID in the CONDITION_OCCURRENCE table",100.00,91349041,10%,NO,,
45,FAIL,CONDITION_OCCURRENCE,CONDITION_SOURCE_VALUE,"The number and percent of distinct source values in the CONDITION_SOURCE_VALUE field of the CONDITION_OCCURRENCE table mapped to 0",14.71,9711,10%,NO,,
46,FAIL,DRUG_EXPOSURE,DRUG_SOURCE_VALUE,"The number and percent of distinct source values in the DRUG_SOURCE_VALUE field of the DRUG_EXPOSURE table mapped to 0",100.00,100101,10%,NO,,
47,FAIL,MEASUREMENT,MEASUREMENT_SOURCE_VALUE,"The number and percent of distinct source values in the MEASUREMENT_SOURCE_VALUE field of the MEASUREMENT table mapped to 0",57.56,52474585,10%,NO,,
48,FAIL,CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field CONDITION_CONCEPT_ID in the CONDITION_OCCURRENCE table",23.12,21128190,5%,NO,,
49,FAIL,DOSE_ERA,UNIT_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the DOSE_ERA table",100.00,34203,0%,NO,,
50,FAIL,DRUG_EXPOSURE,DRUG_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field DRUG_CONCEPT_ID in the DRUG_EXPOSURE table",100.00,174328942,5%,NO,,
51,FAIL,MEASUREMENT,MEASUREMENT_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field MEASUREMENT_CONCEPT_ID in the MEASUREMENT table",57.56,52474585,5%,NO,,
52,FAIL,MEASUREMENT,UNIT_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the MEASUREMENT table",100.00,91160168,5%,NO,,
53,FAIL,OBSERVATION,OBSERVATION_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field OBSERVATION_CONCEPT_ID in the OBSERVATION table",82.92,271510052,5%,NO,,
54,FAIL,OBSERVATION,UNIT_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the OBSERVATION table",100.00,327428097,5%,NO,,
55,FAIL,DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATE,"The number and percent of records with a value in the DRUG_EXPOSURE_START_DATE field of the DRUG_EXPOSURE table less than 19500101",2.35,4089022,1%,NO,,
56,FAIL,DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATETIME,"The number and percent of records with a value in the DRUG_EXPOSURE_START_DATETIME field of the DRUG_EXPOSURE table less than 19500101",2.35,4089022,1%,NO,,
57,FAIL,DRUG_EXPOSURE,QUANTITY,"The number and percent of records with a value in the QUANTITY field of the DRUG_EXPOSURE table less than 0.0000001",9.51,16586801,1%,NO,,
58,FAIL,DRUG_EXPOSURE,VERBATIM_END_DATE,"The number and percent of records with a value in the VERBATIM_END_DATE field of the DRUG_EXPOSURE table less than 19500101",86.86,79953921,1%,NO,,
59,FAIL,PROCEDURE_OCCURRENCE,PROCEDURE_DATE,"The number and percent of records with a value in the PROCEDURE_DATE field of the PROCEDURE_OCCURRENCE table less than 19500101",11.33,2528293,1%,NO,,
60,FAIL,PROCEDURE_OCCURRENCE,PROCEDURE_DATETIME,"The number and percent of records with a value in the PROCEDURE_DATETIME field of the PROCEDURE_OCCURRENCE table less than 19500101",11.33,2528293,1%,NO,,
61,FAIL,CONDITION_OCCURRENCE,CONDITION_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field CONDITION_SOURCE_CONCEPT_ID in the CONDITION_OCCURRENCE table",23.12,21128190,10%,NO,,
62,FAIL,DRUG_EXPOSURE,DRUG_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field DRUG_SOURCE_CONCEPT_ID in the DRUG_EXPOSURE table",100.00,174328942,10%,NO,,
63,FAIL,MEASUREMENT,MEASUREMENT_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field MEASUREMENT_SOURCE_CONCEPT_ID in the MEASUREMENT table",100.00,91160168,10%,NO,,
64,FAIL,OBSERVATION,OBSERVATION_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field OBSERVATION_SOURCE_CONCEPT_ID in the OBSERVATION table",100.00,327428097,10%,NO,,
65,FAIL,VISIT_OCCURRENCE,ADMITTED_FROM_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field ADMITTED_FROM_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,157911921,5%,NO,,
66,FAIL,VISIT_OCCURRENCE,DISCHARGED_TO_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field DISCHARGED_TO_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,157911921,5%,NO,,
67,FAIL,DEVICE_EXPOSURE,NA,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",9.01,18216,5%,NO,,
68,FAIL,NOTE,NA,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",5.11,120519,5%,NO,,
69,FAIL,PROCEDURE_OCCURRENCE,NA,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",19.06,4045488,5%,NO,,
70,FAIL,CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,"For CONCEPT_ID 200147 (ATROPHY OF PROSTATE) the number and percent of records associated with patients with an implausible gender (correct gender = MALE)",100.00,1,5%,NO,,
71,FAIL,CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,"For CONCEPT_ID 4090039 (PENILE ARTERIAL INSUFFICIENCY) the number and percent of records associated with patients with an implausible gender (correct gender = MALE)",14.29,1,5%,NO,,
72,FAIL,VISIT_OCCURRENCE,ADMITTED_FROM_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field ADMITTED_FROM_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,157911921,5%,NO,,
73,FAIL,VISIT_OCCURRENCE,DISCHARGED_TO_CONCEPT_ID,"The number and percent of records with a value of 0 in the standard concept field DISCHARGED_TO_CONCEPT_ID in the VISIT_OCCURRENCE table",100.00,157911921,5%,NO,,
74,FAIL,DEVICE_EXPOSURE,NA,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",9.01,18216,5%,NO,,
75,FAIL,NOTE,NA,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",5.11,120519,5%,NO,,
76,FAIL,PROCEDURE_OCCURRENCE,NA,"The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date",19.06,4045488,5%,NO,,
77,FAIL,CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,"For CONCEPT_ID 200147 (ATROPHY OF PROSTATE) the number and percent of records associated with patients with an implausible gender (correct gender = MALE)",100.00,1,5%,NO,,
